nombre,descripcion,frase,creatura
"Deleite,Sorpresa,Alegria","El deleite es una emoción de placer intenso y satisfacción agradable, normalmente provocada por algo que te sorprende de forma positiva.",Esto es muy agradable… más de lo que esperaba,"sepia,Pavoreal,Guacamayo,Nemo"
"Desepcion,Sorpresa,Tristesa","La decepción es una emoción que aparece cuando algo no cumple las expectativas que tenías.",Esperaba algo… pero no fue como pensé,"sepia,Pavoreal,Bisonte,Burro"
"Desesperacion,Miedo,Tristesa","La desesperación es una emoción de angustia intensa cuando sientes que no hay salida, solución o control sobre una situación.",No veo salida y me siento sobrepasado,"Araña,Cobra,Bisonte,Burro"
"Dominacion,Confianza,Ira","La dominación es una forma de interacción en la que una persona impone su voluntad, control o influencia sobre otra, reduciendo la autonomía del otro.",Yo mando / yo controlo la situación o a otros,"Coballas,Panda,Gorilla,Gallo"
"Envidia,Tristesa,Ira","La envidia es una emoción que aparece cuando deseas algo que otra persona tiene (o que percibes que tiene mejor que tú), y eso te genera malestar.",Quiero eso que tú tienes y me hace sentir incómodo no tenerlo,"Bisonte,Burro,Gorilla,Gallo"
"Incredulidad,Azco,Sorpresa","La incredulidad es la dificultad o incapacidad de creer algo, generalmente porque parece inesperado, ilógico o demasiado extraño.",No puede ser… no lo creo,"Cucaracha,Caracol,sepia,Pavoreal"
"Indignacion,Sorpresa,Ira","La indignación es una emoción de enojo intenso provocado por una sensación de injusticia o algo que se percibe como inaceptable.",Esto está mal y no debería estar pasando,"sepia,Pavoreal,Gorilla,Gallo"
Ira,"la ira es una emoción primaria de enfado y oposición intensa que surge ante obstáculos, amenazas o agravios.",¡Esto me molesta y quiero reaccionar!,"Gorilla,Gallo"
"Melancolia,Confianza,Tristesa","La melancolía es un estado emocional de tristeza suave, profunda y persistente, muchas veces sin una causa clara o inmediata.",Me siento triste… pero de una forma tranquila y reflexiva”,"Coballas,Panda,Bisonte,Burro"
Miedo,"el miedo es una emoción primaria de alerta y defensa ante una amenaza real o percibida que impulsa a la huida o protección.",¡Algo puede salir mal y debo cuidarme!,"Araña,Cobra"
"Morbocidad,Azco,Alegria","La morbosidad es la tendencia a sentir curiosidad o atracción por cosas que son consideradas desagradables, prohibidas o perturbadoras.",Me da curiosidad algo que sé que es incómodo o inapropiado,"Cucaracha,Caracol,Guacamayo,Nemo"
"Nostalgia,Tristesa,Alegria","La nostalgia es una emoción en la que recuerdas algo del pasado con cariño, pero al mismo tiempo sientes tristeza porque ya no está o no volverá igual.",Fue hermoso… pero ya pasó,"Bisonte,Burro,Guacamayo,Nemo"
"Optimismo,Anticipacion,Alegria","El optimismo es una forma de ver la realidad en la que esperas que las cosas salgan bien o que los resultados futuros sean positivos, incluso si hay incertidumbre.",Creo que lo bueno puede pasar,"Escorpion,Camaleon,Guacamayo,Nemo"
"Orgullo,Ira,Alegria","El orgullo es una emoción de satisfacción y valoración positiva hacia uno mismo por algo que hiciste, eres o lograste.",Hice algo bien y lo reconozco,"Gorilla,Gallo,Guacamayo,Nemo"
Paz,"La paz es un estado de equilibrio, calma y ausencia de conflicto, tanto a nivel interno (emocional) como externo (relaciones o entorno).",Estoy en calma y nada me está perturbando.,"Tortuga,Planta"
"Pesimismo,Anticipacion,Tristesa","El pesimismo es una forma de pensar en la que una persona tiende a esperar resultados negativos o a ver lo peor de una situación.",Probablemente algo saldrá mal,"Escorpion,Camaleon,Bisonte,Burro"
"Rechazo,Azco,Ira","El rechazo es la emoción o respuesta de no aceptar, apartar o negar algo o a alguien, ya sea por incomodidad, desacuerdo o aversión.",No lo quiero / no lo acepto,"Cucaracha,Caracol,Gorilla,Gallo"
"Remordimietno,Azco,Tristesa","El remordimiento es una emoción que aparece cuando recuerdas o reconoces que hiciste algo incorrecto y eso te genera malestar persistente.",Hice algo mal… y sigo sintiéndome mal por ello,"Cucaracha,Caracol,Bisonte,Burro"
"Seguridad,Confianza,Anticipacion","La seguridad es la sensación de estar protegido, estable y sin amenaza, tanto a nivel físico, emocional o psicológico.",Estoy bien y no hay peligro,"Coballas,Panda,Escorpion,Camaleon"
Sorpresa,"la sorpresa es una emoción primaria de asombro breve ante un estímulo imprevisto o repentino.",¡No esperaba que esto pasara!,"sepia,Pavoreal"
"Sumicion,Confianza,Miedo","La sumisión es una actitud o estado en el que una persona cede el control, la voluntad o las decisiones a otra persona o autoridad, generalmente por confianza, miedo o necesidad de seguridad.",Acepto que otro decida por mí,"Coballas,Panda,Araña,Cobra"
"Tolerancia,Confianza,Azco","La tolerancia es la capacidad de aceptar, convivir o respetar ideas, personas o situaciones diferentes a las propias, sin reaccionar con rechazo o agresión.",Puedo aceptar lo diferente sin rechazarlo,"Coballas,Panda,Cucaracha,Caracol"
Tristesa,"la tristeza es una emoción primaria de aflicción y abatimiento que surge ante la pérdida, el fracaso o el dolor.",Me siento mal por algo que perdí o pasó.,"Bisonte,Burro"
"Vergüenza,Azco,Miedo","La vergüenza es una emoción que aparece cuando una persona siente que ha hecho algo incorrecto o inapropiado y cree que los demás pueden juzgarla negativamente, o incluso cuando se juzga a sí misma.",Siento que hice algo mal y me siento expuesto o inferior,"Cucaracha,Caracol,Araña,Cobra"
